destination,night_n,price,departure_date,included_services
Hawaii,5,1500.0,2024-09-15,"volo, hotel"
Maui,3,1800.25,2024-10-05,"pasti, escursioni"
Kyoto,6,1100.5,2024-11-01,"trasferimenti, volo"
Shanghai,8,1300.0,2024-12-15,"volo, pasti"
Hong Kong,4,2100.1,2024-09-25,"hotel, escursioni"
Venice,7,1450.75,2024-10-20,"trasferimenti, pasti"
Florence,10,1750.3,2024-11-10,"volo, hotel"
Buenos Aires,2,1200.6,2024-12-05,"hotel, escursioni"
Montreal,6,1000.0,2024-09-30,"volo, pasti"
Cairo,5,850.5,2024-10-12,"trasferimenti, volo"
Helsinki,9,1600.4,2024-11-20,"hotel, pasti"
Prague,3,1450.25,2024-12-25,"escursioni, volo"
Vienna,4,2000.8,2025-01-05,"trasferimenti, pasti"
Zurich,6,2200.5,2024-09-18,"volo, escursioni"
San Francisco,7,1950.75,2024-10-10,"hotel, pasti"
Las Vegas,8,1800.1,2024-11-25,"volo, trasferimenti"
Seoul,10,1700.65,2024-12-15,"hotel, escursioni"
Mumbai,5,900.45,2025-01-01,"trasferimenti, pasti"
Bali,9,1900.25,2024-10-03,"escursioni, pasti"
Marrakech,3,1500.6,2024-11-12,"volo, hotel"
